feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
n_orders,int64,172824,0,0.0,183,2.733815905198352,7.033449321331515,1.0,579.0,0.0,,1.0,1.0,1.0,8.0,25.0,0.6543676086775658,0.284019373499285,0.2746107574823255
m_active,int64,172824,0,0.0,30,1.9704265611257696,2.4620574786069738,1.0,30.0,0.0,,1.0,1.0,1.0,6.0,14.0,0.6575615603168177,0.30502575158645023,0.24409977227992988
m_observed,int64,172824,0,0.0,30,4.939921538675184,7.408931157659088,1.0,30.0,0.0,,1.0,1.0,1.0,23.0,28.0,0.6665121913632323,0.32887166060809514,0.18613560811317859
rho_freq,float64,172824,0,0.0,281,0.8292043439950537,0.3698004754875399,0.06666666666666667,3.0,0.0,,0.09633333333333342,0.15384615384615385,1.0,1.0,2.0,0.6417442653955817,0.279109553749194,-0.058359530371254326
delta_recency,int64,172824,0,0.0,31,18.445053927695227,8.747065141298002,6.0,36.0,0.0,,6.0,7.0,17.0,34.0,36.0,0.9996626574024219,0.8073958581866901,-0.13878048911169225
sigma_gap,float64,172824,115718,0.6695713558302088,2870,1.4644185027687031,2.0939444156204994,0.0,13.5,0.16282460769337592,,0.0,0.0,0.4714045207910317,5.734883511361751,9.0,0.652325477068708,0.281194490570162,0.0313769650353426
mu_gap,float64,172824,115718,0.6695713558302088,263,6.401531621002315,5.208810196817275,1.0,29.0,0.0,,1.0,1.0,5.0,18.0,24.0,0.5454880572166992,0.07884753089629615,-0.3102424428222117
CV_gap,float64,172824,115718,0.6695713558302088,4209,0.29827241920432707,0.3458922096523419,0.0,1.7688820646310448,0.16282460769337592,,0.0,0.0,0.09090909090909091,0.9062661480242811,1.14904851942814,0.6529899690775224,0.2824151326249219,0.13318252251920074
historical_purchase_value_total,float64,172824,0,0.0,72939,314.79314073311576,1469.7486123750664,0.0449,189861.31994,0.0,,2.54,6.6,70.04,1162.6055000000003,4098.199799999981,0.6066702665409929,0.17224023107248446,0.8411558345797667
historical_purchase_value_sqrt,float64,172824,0,0.0,69079,12.163962064101772,12.916351379777016,0.21189620100417092,435.7307883774108,0.0,,1.5937377450509227,2.569046515733026,8.368990381163071,34.097001334066384,64.01718337514922,0.6066702564477201,0.17224021484535965,0.8411558615896447
s_median_line,float64,172824,0,0.0,59579,114.99051739121882,312.9610625348144,0.0449,28072.92,0.0,,2.14115,5.27,41.8,419.12,1224.302199999991,0.5048461699047818,0.0078250992835684,0.8349278711321672
w_e_b,float64,172824,0,0.0,158785,0.00027195296949497757,0.001287230588608931,3.976459801479245e-08,0.2014303246611726,0.0,,1.6742973821384527e-06,4.722763913125512e-06,5.89356986271509e-05,0.0010133730919567566,0.0035520520515615822,0.6175305629550338,0.18977632590133536,0.7842241723123757
delta_trend,float64,172824,0,0.0,5,-0.13575371476183865,0.2872972897208096,-2.0,0.0,0.7783293986946257,,-1.5,-0.5,0.0,0.0,0.0,0.8473506691328474,0.776198681410657,-0.21393517142416046
last_order_month_cos,float64,172824,0,0.0,11,0.04268594653811036,0.703811983456519,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.5760169229375095,0.12355483013650026,-0.1373989184169494
last_order_month_sin,float64,172824,0,0.0,11,0.16717827686789846,0.6891180157712324,-1.0,1.0,0.10924408646947183,,-1.0,-1.0,0.49999999999999994,1.0,1.0,0.754767576595567,0.4148984030138897,0.034267209710169784
last_order_quarter_cos,float64,172824,0,0.0,4,0.14907651715039577,0.6893462711504048,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.7461052330695772,0.41387487405203716,-0.11555304306610781
last_order_quarter_sin,float64,172824,0,0.0,4,0.13915891311391937,0.6951390170376355,-1.0,1.0,0.32324792852844514,,-1.0,-1.0,0.0,1.0,1.0,0.6564142996982298,0.26304173942226067,0.11555304306610781
q4_share,float64,172824,0,0.0,86,0.1879876290065938,0.3457355379521463,0.0,1.0,0.709565801046151,,0.0,0.0,0.0,1.0,1.0,0.5528581965516601,0.10666156590473154,0.13879433776133263
recent_3m_count,float64,172824,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_6m_count,float64,172824,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_3_over_6,float64,172824,172824,1.0,0,,,,,0.0,,,,,,,,,
